sim_time,computation_time,alpha,theta,airspeed
18.5150000000006,0.000093,0.25269399568834083,14.47829946123895,138.0459344850298
18.5200000000006,0.000106,0.25271634761674755,14.479580132400635,138.04058440817116
18.5250000000006,0.000093,0.252738700274736,14.480860845364273,138.0352342219165
18.530000000000598,0.000104,0.2527610536652606,14.482141600299139,138.0298839263814
18.535000000000597,0.000092,0.25278340779127206,14.4834223973743,138.0245335216812
18.540000000000596,0.000092,0.25280576265571764,14.48470323675862,138.0191830079312
18.545000000000595,0.000092,0.25282811826154106,14.48598411862076,138.01383238524636
18.550000000000594,0.000103,0.25285047461168236,14.487265043129172,138.00848165374163
18.555000000000593,0.000092,0.2528728317090782,14.488546010452117,138.0031308135316
18.560000000000592,0.000092,0.2528951895566616,14.489827020757645,137.99777986473072
18.56500000000059,0.000115,0.25291754815736217,14.491108074213603,137.9924288074533
18.57000000000059,0.000093,0.25293990751410583,14.492389170987643,137.98707764181344
18.57500000000059,0.000092,0.25296226762981505,14.493670311247206,137.98172636792495
18.580000000000588,0.000092,0.2529846285074088,14.494951495159537,137.97637498590163
18.585000000000587,0.000103,0.25300699014980266,14.496232722891683,137.97102349585694
18.590000000000586,0.000092,0.2530293525599085,14.49751399461049,137.9656718979043
18.595000000000585,0.000092,0.2530517157406348,14.498795310482594,137.9603201921567
18.600000000000584,0.000092,0.25307407969488654,14.500076670674444,137.95496837872724
18.605000000000583,0.000102,0.2530964444255653,14.501358075352282,137.94961645772867
18.610000000000582,0.000107,0.2531188099355689,14.502639524682147,137.94426442927352
18.61500000000058,0.000093,0.25314117622779203,14.503921018829889,137.93891229347426
18.62000000000058,0.000104,0.25316354330512575,14.505202557961153,137.933560050443
18.62500000000058,0.000093,0.25318591117045763,14.506484142241387,137.92820770029184
18.630000000000578,0.000092,0.2532082798266718,14.507765771835839,137.92285524313263
18.635000000000577,0.000092,0.25323064927664907,14.509047446909564,137.91750267907696
18.640000000000576,0.000103,0.25325301952326656,14.510329167627415,137.91215000823635
18.645000000000575,0.000092,0.25327539056939813,14.511610934154046,137.90679723072208
18.650000000000574,0.000092,0.25329776241791413,14.512892746653918,137.9014443466452
18.655000000000573,0.000096,0.2533201350716815,14.514174605291295,137.8960913561167
18.660000000000572,0.000104,0.25334250853356377,14.515456510230246,137.89073825924729
18.66500000000057,0.000092,0.253364882806421,14.51673846163464,137.88538505614747
18.67000000000057,0.000092,0.25338725789310984,14.51802045966815,137.8800317469276
18.67500000000057,0.000102,0.25340963379648357,14.519302504494258,137.87467833169796
18.680000000000568,0.000093,0.25343201051939207,14.520584596276247,137.86932481056846
18.685000000000567,0.000092,0.2534543880646818,14.521866735177213,137.8639711836489
18.690000000000566,0.000092,0.2534767664351958,14.523148921360043,137.85861745104896
18.695000000000565,0.000114,0.2534991456337737,14.524431154987441,137.8532636128781
18.700000000000564,0.000093,0.2535215256632518,14.525713436221917,137.84790966924555
18.705000000000563,0.000092,0.2535439065264631,14.526995765225783,137.8425556202604
18.710000000000562,0.000092,0.25356628822623706,14.528278142161161,137.83720146603156
18.71500000000056,0.000103,0.2535886707653999,14.529560567189979,137.83184720666773
18.72000000000056,0.000092,0.2536110541467744,14.530843040473966,137.8264928422775
18.72500000000056,0.000092,0.25363343837318,14.532125562174674,137.8211383729692
18.730000000000558,0.000092,0.2536558234474327,14.533408132453442,137.815783798851
18.735000000000557,0.000094,0.25367820937234536,14.534690751471434,137.81042912003088
